method,iteration,violation,accuracy,accuracy_rank,violation_rank
oxonfair,2,-0.013234794427454977,0.6738999999999999,1,1
21multi,1,0.0,0.6442857142857142,0,0
21multi,2,0.0,0.6802857142857144,0,0
21multi,0,-0.02140497076023391,0.6724,0,0
oxonfair,1,0.0,0.637,1,1
21multi,1,0.0,0.6420909090909092,0,0
oxonfair,2,-0.012458942122550692,0.6739166666666666,1,1
oxonfair,0,-0.017953941457417112,0.661,1,1
21multi,0,-0.03179617457340064,0.672,0,0
oxonfair,0,-0.0069309121861256704,0.661,1,1
21multi,2,0.0,0.68,0,0
21multi,1,0.0,0.6434615384615385,0,0
oxonfair,1,0.0,0.6370000000000001,1,1
oxonfair,2,-0.012407747196738017,0.6736,1,1
oxonfair,0,-0.04173443901348566,0.6609999999999999,1,1
oxonfair,2,-0.013097951997034563,0.6706363636363636,1,1
21multi,2,0.0,0.6802000000000001,0,0
21multi,0,-0.029606078573307958,0.6721538461538461,0,0
oxonfair,1,0.0,0.6370000000000002,1,1
21multi,1,0.0,0.6438333333333334,0,0
21multi,2,-0.0024118246687054013,0.6784000000000001,0,0
oxonfair,0,-0.02158990242902852,0.6609999999999999,1,1
oxonfair,1,0.0,0.637,1,1
21multi,1,0.0,0.6441538461538462,0,0
oxonfair,2,-0.007518858307849122,0.6740999999999999,1,1
21multi,0,-0.01877477555073669,0.6724285714285714,0,0
oxonfair,0,-0.03644242682177139,0.6609999999999999,1,1
21multi,1,0.0,0.6447142857142857,0,0
21multi,0,-0.024189790514020905,0.672,0,0
oxonfair,1,0.0,0.6370000000000002,1,1
oxonfair,2,-0.015308641975308655,0.6738888888888889,1,1
21multi,2,0.0,0.679909090909091,0,0
21multi,2,-0.001096283940320637,0.6790909090909092,0,0
21multi,1,0.0,0.6431818181818183,0,0
oxonfair,0,-0.029937192896477883,0.6609999999999999,1,1
21multi,0,-0.027419188695007958,0.6702,0,0
oxonfair,1,0.0,0.637,1,1
oxonfair,2,-0.008061841658171936,0.6725,1,1
oxonfair,0,-0.037404044702952326,0.661,1,1
21multi,0,-0.024679687623145923,0.6725,0,0
